scen,Pothole,rankm,Drainage,Tillage,lulc.pothole,lulc.field,capa.ratio,max.h2oshed.relief,max.flow.path,max.depth,catm3,catm6
Drain1Retired,cardinal,1.795634377,low,conventional,R,CS,8.7,5.489,537.1,0.7,c,e
Drain1RetiredAll,cardinal,1.116320576,low,N/A,R,CS,8.7,5.489,537.1,0.7,c,e
Drain1RetiredCT,cardinal,1.652694229,low,contill,R,CS,8.7,5.489,537.1,0.7,c,e
Drain1RetiredNT,cardinal,1.535797809,low,notill,R,CS,8.7,5.489,537.1,0.7,c,e
Drain2NT,cardinal,0.883414135,medium,notill,CS,CS,8.7,5.489,537.1,0.7,c,f
Drain2Retired,cardinal,0.979658786,medium,conventional,R,CS,8.7,5.489,537.1,0.7,c,f
Drain2RetiredAll,cardinal,0.684019007,medium,N/A,R,CS,8.7,5.489,537.1,0.7,c,f
Drain2RetiredCT,cardinal,0.818012098,medium,contill,R,CS,8.7,5.489,537.1,0.7,c,f
Drain2RetiredNT,cardinal,0.761540152,medium,notill,R,CS,8.7,5.489,537.1,0.7,c,f
Drain3NT,cardinal,0.449048025,high,notill,CS,CS,8.7,5.489,537.1,0.7,c,f
Drain3Retired,cardinal,0.534049627,high,conventional,R,CS,8.7,5.489,537.1,0.7,c,f
Drain3RetiredAll,cardinal,0.338704064,high,N/A,R,CS,8.7,5.489,537.1,0.7,c,f
Drain3RetiredCT,cardinal,0.408865683,high,contill,R,CS,8.7,5.489,537.1,0.7,c,f
Drain3RetiredNT,cardinal,0.355224383,high,notill,R,CS,8.7,5.489,537.1,0.7,c,f
NoTill,cardinal,0.883414135,medium,notill,CS,CS,8.7,5.489,537.1,0.7,c,f
NoTillRetired,cardinal,7.210998202,none,notill,R,CS,8.7,5.489,537.1,0.7,a,b
PlantDate1,cardinal,1.192216043,medium,conventional,CS,CS,8.7,5.489,537.1,0.7,c,e
PlantDate2,cardinal,1.208885658,medium,conventional,CS,CS,8.7,5.489,537.1,0.7,c,e
PlantDate3,cardinal,1.247203379,medium,conventional,CS,CS,8.7,5.489,537.1,0.7,c,e
PlantDate4,cardinal,1.195998155,medium,conventional,CS,CS,8.7,5.489,537.1,0.7,c,e
RetiredAll,cardinal,4.324271761,none,N/A,R,R,8.7,5.489,537.1,0.7,b,c
RetiredPothole,cardinal,9.185632391,none,conventional,R,CS,8.7,5.489,537.1,0.7,a,a
Base,hen,2.271624853,none,conventional,CS,CS,6.9,4.48,229.8,0.5,b,d
BaseRetired,hen,2.268225243,none,conventional,R,CS,6.9,4.48,229.8,0.5,b,d
BaseRetiredCT,hen,2.190369869,none,contill,CS,CS,6.9,4.48,229.8,0.5,b,d
